trialNumber,repeatNumber,rewardContingency,contrastLeft,contrastRight,correctResponse,choice,choiceCompleteTime,choiceStartTime,feedback,punishSoundOnsetTime,trialStartTime,preStimWaitTime,interactiveOnTime,feedbackTime,endTrialTime,environment,stimulusOnsetTime,goCueTime,rewardTime,rewardVolume
1,1,SymmetricReward,0,0.5,Right,Right,5.10886990011204,4.93900893814862,Rewarded,NaN,1.76213680009823,1.76319020008668,3.06349144992419,5.36108420009259,11.7320252499776,Neutral,2.38104359598461,3.099,5.39370034355392,3.5
2,1,SymmetricReward,0.125,0,Left,Left,13.807778300019,13.7387488279492,Rewarded,NaN,11.7405775500229,11.7409473500447,13.1042581000365,14.1437247501453,23.1572260000976,Neutral,12.3430332806586,13.139,14.1747003303768,3.5
3,1,SymmetricReward,0.0625,0,Left,Left,24.9240159500623,24.8530681887642,Rewarded,NaN,23.1652784000617,23.1656083000125,24.5264568501152,25.2286427500658,31.5200210000621,Neutral,23.7630419117653,24.573,25.2612003370208,3.5
4,1,SymmetricReward,0.25,0,Left,Left,33.3577595500974,33.1911315843463,Rewarded,NaN,31.5286419000477,31.529061700101,33.0008041000692,33.7448201500811,40.3329818999628,Neutral,32.1230513598346,33.052,33.7762003567328,3.5
5,1,SymmetricReward,0,0,Right,Left,41.9742160498863,41.8111584763974,Unrewarded,42.305,40.3408156000078,40.341710699955,41.5746407499537,42.269796299981,51.8864702999126,Neutral,40.9410442571793,41.6125,NaN,NaN
6,1,SymmetricReward,0,0.125,Right,Right,53.7238704999909,53.6381328282878,Rewarded,NaN,51.8930230999831,51.8933160000015,53.3232437999686,53.991549899918,60.4492377500283,Neutral,52.5010329942797,53.38,54.0222002909519,3.5
7,1,SymmetricReward,0,0.25,Right,Left,68.3080280000577,68.2444616453722,Unrewarded,68.5765,60.4563540499657,60.4566205500159,61.8206711999374,68.5454838001169,79.40236644994,Neutral,61.051150000013,61.861,NaN,NaN
8,1,SymmetricReward,0,0.0625,Right,Left,98.7914936498273,98.6841252641752,Unrewarded,99.0675,79.4108298498904,79.4112374499673,80.6660273999441,99.0352774000494,108.192012350075,Neutral,80.0070424299663,80.704,NaN,NaN
9,1,SymmetricReward,0.125,0,Left,Left,109.542225349927,109.448314129375,Rewarded,NaN,108.198576950002,108.198846550076,109.416651699925,109.809743450023,116.090306400089,Neutral,108.79754192461,109.4615,109.842200376442,3.5
10,1,SymmetricReward,0,0,Left,Left,118.510445649968,118.26044801902,Rewarded,NaN,116.096620100085,116.096894000075,117.335136849899,118.794082349981,126.966073950054,Neutral,116.692037753166,117.378,118.826200350085,3.5
11,1,SymmetricReward,0.0625,0,Left,Left,129.042900399887,128.944075885229,Rewarded,NaN,126.973702950054,126.973986050114,128.252265949966,129.435935099958,136.50963789993,Neutral,127.570547446672,128.3135,129.467200350085,3.5
12,1,SymmetricReward,0.25,0,Left,Left,138.676447400008,138.428584266454,Rewarded,NaN,136.516482299892,136.516744999913,137.748548600008,139.038251149934,147.669807649916,Neutral,137.118275719446,137.804,139.069704629778,3.5
13,1,SymmetricReward,0,0.5,Right,Right,149.909529799945,149.769094124436,Rewarded,NaN,147.676395349903,147.67666805,149.058367499965,150.24527319998,158.992623450118,Neutral,148.278514688527,149.1075,150.278700363263,3.5
14,1,SymmetricReward,0.5,0,Left,Left,161.292489650077,161.218051481061,Rewarded,NaN,159.000262150075,159.000585050089,160.954780749977,161.585216450039,169.130986150005,Neutral,160.278554883033,161.0045,161.617200356733,3.5
15,1,SymmetricReward,0.125,0,Left,Left,170.54354975,170.457778365351,Rewarded,NaN,169.137732650037,169.138003750006,170.363691100036,170.803367750021,177.490582700004,Neutral,169.738054187912,170.425,170.836200389623,3.5
16,1,SymmetricReward,0,0.25,Right,Right,184.810265799868,184.633415687829,Rewarded,NaN,177.497309300001,177.49758700002,178.781758950092,185.195088199922,192.279091000091,Neutral,178.093544927087,178.8305,185.226200356733,3.5
17,1,SymmetricReward,0,0.5,Right,Right,194.393067749916,194.145810568705,Rewarded,NaN,192.286532300059,192.286809100071,194.155596649973,194.676915949909,203.901048149914,Neutral,193.36679232248,194.2,194.706700369791,3.5
18,1,SymmetricReward,0.0625,0,Left,Right,206.626186200068,206.576992413029,Unrewarded,206.879,203.907957549905,203.908234849921,205.261769649922,206.83761050005,215.309876050102,Neutral,204.503242180114,205.3155,NaN,NaN
19,1,SymmetricReward,0,0.125,Right,Left,219.826499499963,219.742518748157,Unrewarded,220.1455,215.316474650055,215.316738850088,218.875327899936,220.104267599992,231.055035550031,Neutral,218.218544217895,218.918,NaN,NaN
20,1,SymmetricReward,0.25,0,Left,Right,232.493985750014,232.396792589687,Unrewarded,232.7955,231.063276749919,231.063553849934,232.445824049995,232.750049600028,242.153931050096,Neutral,231.662414324355,232.487,NaN,NaN
21,1,SymmetricReward,0,0.25,Right,Left,243.676344749983,243.600968449377,Unrewarded,244.0525,242.161527250079,242.161802850082,243.563599450048,244.01559944998,253.7828247,Neutral,242.758100669801,243.607,NaN,NaN
22,1,SymmetricReward,0,0.0625,Right,Right,261.693482549977,261.624942723662,Rewarded,NaN,253.790058600018,253.790369600058,255.221264300053,261.914835650008,269.489028649987,Neutral,254.394624420541,255.2715,261.94770040933,3.5
23,1,SymmetricReward,0,0.5,Right,Right,271.061097249971,271.010299106129,Rewarded,NaN,269.496385449893,269.496810149984,270.755310649867,271.305814050022,279.61676210002,Neutral,270.101036444856,270.799,271.336200402806,3.5
24,1,SymmetricReward,0,0.125,Right,Right,281.295598999946,281.092817979865,Rewarded,NaN,279.624481000006,279.624761599931,281.054015900008,281.632892249967,287.908983949921,Neutral,280.230514337155,281.0995,281.664700330377,3.5
25,1,SymmetricReward,0.0625,0,Left,Left,289.627094250056,289.533131874166,Rewarded,NaN,287.916221249965,287.916491149925,289.293381599942,290.025773399975,298.517716249917,Neutral,288.51904363581,289.345,290.057200337021,3.5
26,1,SymmetricReward,0.0625,0,Left,Right,299.86183405004,299.705507246777,Unrewarded,300.281,298.526729149977,298.527046249947,299.781096250052,300.248020499945,310.672645949875,Neutral,299.128027802837,299.829,NaN,NaN
27,1,SymmetricReward,0,0.0625,Right,Right,320.627442449913,320.539820985869,Rewarded,NaN,310.680112249916,310.68053294986,312.35735820001,320.906269849977,329.573447699891,Neutral,311.649044074527,312.4115,320.939200343554,3.5
28,1,SymmetricReward,0,0.125,Right,Right,333.911333799944,333.826188819483,Rewarded,NaN,329.580574499909,329.580844399869,330.860100749996,334.151244850014,341.54801239993,Neutral,330.185042291286,330.9085,334.182200396149,3.5
29,1,SymmetricReward,0.5,0,Left,Left,343.863154100021,343.797161694616,Rewarded,NaN,341.55526579998,341.555566899944,342.943314199918,344.235900650034,351.377461800002,Neutral,342.298034744435,342.9895,344.267700356733,3.5
30,1,SymmetricReward,0,0.0625,Right,Right,357.544684500084,357.486334523186,Rewarded,NaN,351.384963300079,351.385233100038,354.510566449957,357.824781800038,365.058958249982,Neutral,353.865031048643,354.5575,357.854716666049,3.5
31,1,SymmetricReward,0.0625,0,Left,Right,366.361728499993,366.11255841516,Unrewarded,366.735,365.066254749894,365.066522549954,366.265172800049,366.698502799962,376.118449250003,Neutral,365.664290891863,366.309,NaN,NaN
32,1,SymmetricReward,0.125,0,Left,Left,378.245336499996,378.184314263985,Rewarded,NaN,376.125296049984,376.125576950028,377.920247449889,378.454504999914,386.671589850099,Neutral,377.120040110396,378.007,378.486700382969,3.5
33,1,SymmetricReward,0,0,Left,Left,388.378075950081,388.325704636984,Rewarded,NaN,386.679551650072,386.679907750105,387.998481499963,388.643854500027,397.467188950046,Neutral,387.276007430133,388.059,388.674200363263,3.5
34,1,SymmetricReward,0,0.0625,Right,Left,400.344250299968,400.130989489146,Unrewarded,400.7645,397.475121550029,397.475447550067,399.962760799914,400.723683850025,410.685637849965,Neutral,399.183029311435,400.0125,NaN,NaN
35,1,SymmetricReward,0.125,0,Left,Right,412.01468979998,411.94247134123,Unrewarded,412.3445,410.692539950018,410.692818649928,411.951552499901,412.301389099914,420.879120749887,Neutral,411.292429805045,412,NaN,NaN
36,1,SymmetricReward,0.25,0,Left,Right,424.562569249887,424.314781686291,Unrewarded,424.932,420.886133549968,420.886403649929,424.384190049954,424.889716949896,433.9103681501,Neutral,423.57942231408,424.432,NaN,NaN
37,1,SymmetricReward,0,0.125,Right,Right,436.16253449989,436.048801039346,Rewarded,NaN,433.918010850088,433.918307150016,436.000798500027,436.531943949987,443.199475699919,Neutral,435.123046518284,436.0535,436.56420033691,3.5
38,1,SymmetricReward,0.125,0,Left,Left,444.829366049962,444.603759432212,Rewarded,NaN,443.207137699937,443.207403699984,444.424483249895,445.216347199981,453.113478800049,Neutral,443.811030517801,444.47,445.248700330486,3.5
39,1,SymmetricReward,0,0.0625,Right,Right,459.028994049993,458.98699625209,Rewarded,NaN,453.120891900035,453.121167900041,455.075889800093,459.335406649974,465.841096849996,Neutral,454.390509159265,455.118,459.365700356733,3.5
40,1,SymmetricReward,0.0625,0,Left,Right,467.645922649885,467.557447144762,Unrewarded,467.8945,465.848324749968,465.848597149947,467.114443550003,467.854689349886,477.192846949911,Neutral,466.453521882954,467.1955,NaN,NaN
41,1,SymmetricReward,0,0.25,Right,Left,478.595564899966,478.402197008952,Unrewarded,478.9435,477.200698949979,477.200981049915,478.416404399904,478.902576899971,487.35800639994,Neutral,477.802004890948,478.4615,NaN,NaN
42,1,SymmetricReward,0,0,Left,Right,491.746698549949,491.626594843343,Unrewarded,492.122,487.365302699967,487.365575899952,489.513077249983,492.081675999914,500.352978150011,Neutral,488.82254322641,489.559,NaN,NaN
43,1,SymmetricReward,0,0,Left,Right,505.47914369998,505.433510670438,Unrewarded,505.746,500.360097949975,500.360395050026,501.637390749995,505.701878749998,514.121198549983,Neutral,500.955573740837,501.683,NaN,NaN
44,1,SymmetricReward,0,0.0625,Right,Right,531.180629499955,531.135567848571,Rewarded,NaN,514.128809649963,514.129076849902,516.842926150071,531.50753625005,537.915132949944,Neutral,516.02805212654,516.8955,531.539700350085,3.5
45,1,SymmetricReward,0,0.5,Right,Left,539.464610600029,539.380676245317,Unrewarded,539.8135,537.92346614995,537.923726349953,539.318899100064,539.77165775001,547.823092549923,Neutral,538.520022526251,539.3625,NaN,NaN
46,2,SymmetricReward,0,0.5,Right,Right,549.463529050001,549.413619119674,Rewarded,NaN,547.830315549974,547.830586749944,549.171134250006,549.802075799904,557.446146699949,Neutral,548.430540766333,549.222,549.833700369913,3.5
47,1,SymmetricReward,0,0.0625,Right,Right,560.998288700008,560.952432975173,Rewarded,NaN,557.453318899963,557.453588099917,558.881613200065,561.253611249966,567.661776199937,Neutral,558.054157172356,558.9295,561.287200396149,3.5
48,1,SymmetricReward,0,0,Left,Left,571.963664499926,571.716621840373,Rewarded,NaN,567.668478199979,567.668736399966,571.040876699961,572.167739900062,580.937354600057,Neutral,570.348832897629,571.087,572.199700376442,3.5
49,1,SymmetricReward,0,0.5,Right,Right,582.546906000003,582.34447670728,Rewarded,NaN,580.944553700043,580.944825300132,582.416491549928,582.883522699936,589.243040249916,Neutral,581.550496141514,582.4595,582.916200343554,3.5
50,1,SymmetricReward,0,0.125,Right,Right,591.016618249938,590.769298101775,Rewarded,NaN,589.250295749982,589.250565749942,590.646828649915,591.34761124989,598.617755699903,Neutral,589.85055509071,590.709,591.379700323842,3.5
51,1,SymmetricReward,0.5,0,Left,Left,600.214449399966,600.098881484941,Rewarded,NaN,598.62565079995,598.625917999889,599.869578699931,600.568720550044,609.434012099984,Neutral,599.224543367025,599.9195,600.599700356733,3.5
52,1,SymmetricReward,0.25,0,Left,Left,612.565161749953,612.365842831321,Rewarded,NaN,609.441228999989,609.441504699993,612.278278650017,612.893242549966,622.176680549979,Neutral,611.585578787885,612.331,612.924700356733,3.5
53,1,SymmetricReward,0.25,0,Left,Left,624.532735150075,624.449992679991,Rewarded,NaN,622.185231650015,622.185516249971,623.673928000033,624.900199350086,632.118248099927,Neutral,622.781511762749,623.7225,624.931700343554,3.5
54,1,SymmetricReward,0,0.125,Right,Right,635.765635150019,635.719237038866,Rewarded,NaN,632.124990099925,632.125269599957,634.394276900101,636.014392299927,642.691199999885,Neutral,633.626252145235,634.44,636.047200323842,3.5
55,1,SymmetricReward,0.0625,0,Left,Left,645.097767649917,645.055017421953,Rewarded,NaN,642.698543299921,642.698826499982,644.13267334993,645.406384949922,654.234419999993,Neutral,643.294047570658,644.1775,645.43870040933,3.5
56,1,SymmetricReward,0,0.5,Right,Right,656.114740199992,655.865683786571,Rewarded,NaN,654.241556099965,654.241820099996,655.514234600123,656.473056899966,663.665276400046,Neutral,654.84105687259,655.5595,656.507200317306,3.5
57,1,SymmetricReward,0.125,0,Left,Right,665.731721950113,665.508215665817,Unrewarded,666.016,663.672295500059,663.672571100062,664.936925749993,665.974757050164,674.943010999938,Neutral,664.27204378034,664.982,NaN,NaN
58,1,SymmetricReward,0,0.0625,Right,Right,677.265434050118,677.195757519454,Rewarded,NaN,674.950231599971,674.950492299977,676.424339499907,677.532403899939,685.471155199921,Neutral,675.551549141349,676.4705,677.566200356733,3.5
59,1,SymmetricReward,0,0.125,Right,Right,687.215740850079,687.138843894936,Rewarded,NaN,685.478395399987,685.47865830001,686.914790099952,687.508310799953,694.776460999972,Neutral,686.086058480223,686.9915,687.538700396149,3.5
60,1,SymmetricReward,0.125,0,Left,Left,696.298359549954,696.133789282292,Rewarded,NaN,694.784415800008,694.784690400003,696.225036449847,696.543963050004,703.365116750007,Neutral,695.386535317956,696.27,696.575200363263,3.5
61,1,SymmetricReward,0,0.0625,Right,Right,705.58157229994,705.333235667087,Rewarded,NaN,703.373118850053,703.373434350011,704.584448550013,705.84088709997,714.700801749947,Neutral,703.969518693405,704.6295,705.872700343554,3.5
62,1,SymmetricReward,0,0.5,Right,Right,716.248392050038,716.00137103349,Rewarded,NaN,714.708041349892,714.708302149898,716.060274449992,716.524217249942,722.87135755003,Neutral,715.312540178858,716.112,716.555200337021,3.5
63,1,SymmetricReward,0,0.0625,Right,Right,725.215991599835,725.132650419138,Rewarded,NaN,722.879036050057,722.879296650062,725.074507699814,725.554275649949,734.164313599933,Neutral,724.343544814463,725.1245,725.586200343554,3.5
64,1,SymmetricReward,0,0.5,Right,Right,740.149890900124,740.082912731916,Rewarded,NaN,734.17164830002,734.17190820002,735.626792149968,740.54448339995,749.6503430499,Neutral,734.774543216698,735.7055,740.575200376442,3.5
65,1,SymmetricReward,0.25,0,Left,Left,752.782030400005,752.72169407364,Rewarded,NaN,749.657750549959,749.65802854998,751.438922250061,753.05211535003,761.594046399929,Neutral,750.674529098362,751.4815,753.083200363263,3.5
66,1,SymmetricReward,0,0.0625,Right,Right,765.01856674999,764.818237922154,Rewarded,NaN,761.601235799957,761.601505799918,764.189061750076,765.402412649943,772.733486050041,Neutral,763.466520078613,764.241,765.434200363263,3.5
67,1,SymmetricReward,0.125,0,Left,Left,774.532694250112,774.395701302215,Rewarded,NaN,772.740952550084,772.741220250027,774.200445899973,774.935782850021,783.817777299904,Neutral,773.337044990837,774.253,774.968200330377,3.5
68,1,SymmetricReward,0,0.125,Right,Right,787.032478749868,786.953921644948,Rewarded,NaN,783.825557200005,783.825851099915,786.716448600055,787.338301949785,795.629629950039,Neutral,785.996036870969,786.762,787.368700330377,3.5
69,1,SymmetricReward,0.25,0,Left,Left,796.983313900069,796.735886022449,Rewarded,NaN,795.637390849995,795.637664349983,796.933308200096,797.332624849863,806.497454099939,Neutral,796.244033225075,796.9825,797.364700396149,3.5
70,1,SymmetricReward,0,0.25,Right,Right,808.216062049964,807.986539381556,Rewarded,NaN,806.505789899966,806.506088199909,807.853896600078,808.45560945,817.244256999926,Neutral,807.105162553205,807.904,808.487700396149,3.5
71,1,SymmetricReward,0.5,0,Left,Left,820.518763399916,820.306175227277,Rewarded,NaN,817.251799299964,817.252093799994,820.402253799955,820.763215099927,827.231726749917,Neutral,819.512039974377,820.4725,820.795200350085,3.5
72,1,SymmetricReward,0,0.0625,Right,Right,832.099806400016,831.851186082698,Rewarded,NaN,827.239546149853,827.239851549966,830.152551600011,832.308732100064,839.964286900009,Neutral,829.383780000021,830.2395,832.340200389623,3.5
73,1,SymmetricReward,0,0.0625,Right,Right,844.366936599836,844.297860426828,Rewarded,NaN,839.972963500069,839.973245400004,842.933224449866,844.60669679998,850.98806725,Neutral,842.221034468751,842.979,844.637700290952,3.5
74,1,SymmetricReward,0.5,0,Left,Right,852.549959299969,852.344664826058,Unrewarded,852.847,850.997323949938,850.997600449948,852.384833449963,852.809331799974,861.20225115004,Neutral,851.595273345281,852.433,NaN,NaN
75,2,SymmetricReward,0.5,0,Left,Left,862.51955680002,862.272258701734,Rewarded,NaN,861.209012550069,861.209292950109,862.46557184984,862.919776300085,871.710650649969,Neutral,861.81242762434,862.5125,862.950700376442,3.5
76,1,SymmetricReward,0,0.25,Right,Left,873.584114750032,873.33700206317,Unrewarded,874.005,871.718527649879,871.718795049936,873.466776799993,873.968788650003,882.602654950111,Neutral,872.724581726701,873.512,NaN,NaN
77,1,SymmetricReward,0.5,0,Left,Right,884.368267150014,884.119781928137,Unrewarded,884.707,882.60971415008,882.609987250064,884.269680349971,884.663059149985,895.173772799899,Neutral,883.627521902876,884.322,NaN,NaN
78,2,SymmetricReward,0.5,0,Left,Left,896.683909449959,896.436319273897,Rewarded,NaN,895.180757299997,895.181036899914,896.585352849914,897.040565949981,903.381835050066,Neutral,895.779026188906,896.6375,897.070200396149,3.5
